burrito,6,4717,y,0,0,0,0,0,0,0,park,0,average,poor,none,none,"If their intake is functional, it is not at a good angle. Bad driver, but successful defens occasionally.",n
ZiaH,7,3847,y,0,2,6,1,0,1,0,single,0,average,excellent,both,none,really good,n
AsheX,7,8019,y,0,1,0,1,0,0,0,park,0,none,poor,ground,none,their entire shooter broke off toward the start. ,n
burrito,7,5894,y,0,0,0,0,0,2,0,none,0,none,poor,human,none,"Piece got stuck on shooter, flywheels too close together for piece to get out.",n
Jacob C.,7,6155,0,0,0,0,0,0,0,none,0,none,poor,human,none,"autonomous malfunctioned. Robot malfunctioned, lost, did not do anything in teleop. Not sure what happened, but robot was not working correctly. ",n,n
davidd,7,3802,0,0,1,0,0,1,0,none,0,poor,average,human,none,"Source intake was not very good, had two notes under them for a while but got no fouls???",n,n
Priscilla I,7,5892,y,0,0,1,5,0,1,0,none,0,none,excellent,both,none,"Pretty good robot! Relied mostly on speaker intake, and they did not have enough time to climb. They carried their team, and when they tried to climb, the chains shaked too hard. Their grabbers on the chain were bad and thin. ",n
test,-1,0,0,0,0,0,0,0,0,none,0,none,none,none,none,1234567890,n,n
Naina J,8,8625,0,0,0,0,0,0,0,none,0,none,none,none,none,Not in the game!,n,n
NimahA,8,9418,y,0,0,0,6,0,0,0,double,0,average,excellent,both,none,Very good team. They had a smooth and skilled team but they didn't really play that much offense - main goal was to score notes,n
MAXB,8,8610,0,0,0,0,0,0,0,none,0,excellent,average,none,none,did not manage to shoot anything and was kinda just moving around the field. it made some shy defense and later on towards the end got more confident and blocked us a lot from being able to return to our side.,n,n
maryam a.,8,418,y,3,0,1,1,0,2,0,none,0,average,average,ground,none,this is a redo in case my last one didnt submit. robot kept getting blocked by a blue alliance robot and couldnt escape for a while,n
Madeline D,8,8598,0,0,0,4,0,5,1,single,0,none,poor,ground,none,"Intake was unreliable at times, loose. Intake touched the ground when climbing, counted as single climb despite two on the chain because of this.",n,n
henryh,8,8114,y,0,0,0,3,0,5,0,none,0,none,average,ground,none,"The robot missed a few at the start, then made more as the game went on. I'm pretty sure it spent the whole game on it's side of the arena, using the notes that were already there. The robot had an interesting intake design, where it loaded the note into the shooter. The shooter seemed kind of wobbly/inaccurate, which contributed to its missed shots. It also seems like it had a mechanical issue towards the end of the game.",n
Maddie D.,9,9140,0,0,0,0,0,0,0,none,0,none,none,none,none,Was not present for the match.,n,n
Naina J,9,2789,y,0,0,0,0,0,4,0,park,0,none,average,both,none,Intake is weak. Needs to shoot higher into speaker,n
NimahA,9,4332,y,0,0,0,2,0,2,0,none,0,none,poor,ground,none,"They were very slow and their intake took a while. Not the best defense either, and they only had ground intake. ",n
maryam a.,9,9054,0,0,2,0,0,3,0,single,0,average,poor,human,none,"intake didnt work once, dropped it one during pick up from human player. robot bumped into a few things ",n,n
henryh,9,9524,0,0,0,0,0,2,0,park,0,none,poor,human,none,"Modified kitbot. Looks like it was having some technical issues before the game started. Spun in circles for the first ~30 seconds, then managed to drive around a little. Intake worked, but I don't think it scored any. Tried to climb, got hook over chain, but ran out of time to pull itself up.",n,n
MAXB,9,8879,y,0,1,0,0,0,4,0,single,0,none,poor,ground,none,was pretty slow and the intake didn't work well. it was hard to aim it and had to line up perfectly with a note. Also the driver had a lot of trouble lining up with the speaker. didn't have enought power to shoot the notes,n
MAXB,10,9137,0,0,0,0,0,0,0,none,0,none,none,none,none,was not here,n,n
maryam a.,10,5726,0,0,1,0,0,2,0,park,0,average,poor,human,none,"was driving too fast and kept bumping into other robots, also very poor intake it kept dropping and robot was stuck for a long time and didnt move",n,n
NimahA,10,2583,y,0,1,1,0,0,4,0,park,0,average,average,ground,none,Had a very smooth ground intake. But had a lot of misses. Its note would not go high enough to fall into the speaker. Had no speaker points during teleop. ,n
Naina J,10,8507,y,0,0,0,0,0,1,0,park,0,y,none,poor,human,none,attempted climb - back was on the ground. didn't try speaker but tried the amp. Couldn't see if it made it into the amp
Maddie D,10,5503,y,0,0,0,2,0,2,0,single,0,y,none,poor,ground,none,If-y intake and drive. Takes to long to pick up notes and load for shot.
henryh,10,5103,y,0,0,0,0,0,1,0,none,0,poor,poor,human,none,"Practically immobile, it seemed like only one side of the robot would drive. It tried to shoot one in the speaker, but missed, then spent the rest of the game trying to make its way over to the human intake. It rammed into another robot pretty hard, and couldn't drive with one side after that, so I think the collision must've knocked something loose.",n
MAXB,11,3743,y,0,0,0,0,0,3,0,none,0,none,excellent,human,none,wasn't powerful enough to shoot but was very fast and the driver managed to doge the defending robot.,n
NimahA,11,4364,0,0,0,0,0,0,0,none,0,poor,none,none,none,They had no intake. They tried defense with one team but failed. They also scored no points. Their mobility also varies a lot (not a lot of control over robot),n,n
maryam a.,11,4610,y,0,0,2,0,0,0,0,none,0,none,poor,human,none,could not tell what the penalty was even tho there were 5 penalties. also robot was stuck at notes place for so long. and robot dropped a note during auto,n
Naina J,11,8749,y,0,0,0,1,0,5,0,park,0,none,average,ground,some,8749 foul in auto? also maybe could climb didn't have time,n
henryh,11,4717,y,0,0,1,0,0,1,3,park,0,poor,average,ground,none,"The robot used an interesting strategy where it went into the middle, shot three notes onto its side, then went over and tried to score those. It placed two into the amp, but it seemed the third got stuck in the shooter, and it didn't shoot any after that. It has an interesting shooter design that is on an arm, and while it didn't use the human intake because of its strategy, it looks like it might have the capability to do so.",n
henryh,11,4717,y,0,0,1,0,0,1,3,park,0,poor,average,ground,none,"The robot used an interesting strategy where it went into the middle, shot three notes onto its side, then went over and tried to score those. It placed two into the amp, but it seemed the third got stuck in the shooter, and it didn't shoot any after that. It has an interesting shooter design that is on an arm, and while it didn't use the human intake because of its strategy, it looks like it might have the capability to do so.",n
